SPECIMEN #,SPECIES,SUBSPECIES,SEX,SKULL LENGTH,CRANIAL WIDTH,NEUROCR HT,FACIAL HEIGHT,PALATE LENGTH,PALATE WIDTH,COMMENTS
USNM 396726,Aotus nigriceps,,M,61.11,26.20,32.19,22.70,17.57,20.30,
USNM 396790,Aotus nigriceps,,?,62.69,27.93,31.06,22.90,18.24,21.53,
USNM 396752,Aotus nigriceps,,F,61.26,29.09,30.96,24.35,18.31,20.62,
USNM 406570,Callicebus torquatus,,?,65.50,28.34,32.55,22.82,20.04,23.55,
USNM 388149,Callicebus torquatus,,M,63.86,29.50,32.30,21.81,18.67,22.47,
USNM 406568,Callicebus torquatus,,F,59.66,27.50,29.97,19.83,17.92,20.67,
USNM 406442,Callicebus torquatus,,?,63.89,28.22,33.73,20.15,20.56,22.93,
USNM 406564,Callicebus torquatus,,M,65.62,29.14,34.50,21.82,18.79,21.58,
USNM 406416,Callicebus torquatus,,M,66.37,31.14,34.46,22.21,20.48,22.61,
USNM 406410,Callicebus torquatus,,M,67.72,30.87,31.99,21.70,19.70,24.01,frontonasal suture partially obliterated
USNM 406411,Callicebus torquatus,,F,65.89,27.66,35.08,21.72,19.47,24.38,
USNM 406412,Callicebus torquatus,,F,63.24,27.77,33.18,21.46,19.43,23.08,
USNM 406414,Callicebus torquatus,,?,63.27,29.27,32.55,21.67,18.53,23.01,
USNM 518222,Callicebus torquatus,,F,69.47,29.40,35.74,21.38,20.27,23.04,
USNM 397616,Callicebus torquatus,,F,67.42,30.23,35.38,22.66,19.86,23.43,
USNM 307380,Callicebus torquatus,,F,64.99,28.61,31.21,22.84,17.78,22.24,
USNM 398212,Callicebus torquatus,,F,70.53,30.88,33.42,23.37,21.72,23.96,frontonasal suture partially obliterated
USNM 397619,Callicebus torquatus,,F,67.43,29.39,33.58,23.19,19.07,22.40,frontonasal suture partially obliterated
USNM 544521,Callicebus moloch,,F,57.04,26.94,29.22,18.08,16.97,19.83,
USNM 544520,Callicebus moloch,,F,63.67,27.26,30.95,21.62,19.91,21.19,
USNM 461917,Callicebus moloch,,M,62.32,27.44,29.53,19.98,18.47,20.37,"not in database (locality: Brazil: Para; Km 212, Tranamazonica (Itaituba-jacareacanga)"
USNM 545873,Callicebus moloch,,M,63.75,27.92,32.92,22.23,18.53,21.05,
USNM 301946,Callicebus moloch,,M,64.14,28.37,32.01,22.32,20.94,21.25,
USNM 348325,Callicebus moloch,,F,59.95,27.70,29.31,22.10,18.08,20.16,
USNM 461702,Callicebus moloch,,M,60.18,26.90,30.81,19.42,17.75,20.08,
USNM 283924,Callicebus ornatus,,M,55.41,24.69,29.12,19.51,16.70,18.92,
USNM 397933,Callicebus ornatus,,M,60.09,27.78,31.23,20.72,18.55,21.57,frontonasal suture partially obliterated
USNM 529891,Callicebus ornatus,,M,62.74,27.34,34.56,18.15,20.62,21.96,
USNM 406574,Cacajao melanocephalus,,M,92.67,38.35,47.36,29.22,28.91,23.94,
USNM 406422,Cacajao melanocephalus,,M,97.43,38.99,50.34,32.86,30.64,24.43,
USNM 406426,Cacajao melanocephalus,,M,90.93,36.51,47.80,29.97,28.93,23.91,
USNM 406423,Cacajao melanocephalus,,M,94.70,37.52,48.28,29.25,28.79,24.31,
USNM 406425,Cacajao melanocephalus,,F,91.19,38.20,47.13,29.57,29.24,22.65,
USNM 406572,Cacajao melanocephalus,,F,88.80,37.15,46.66,27.27,28.55,23.17,
USNM 256214,Cacajao melanocephalus,,M,94.66,40.15,47.54,31.38,30.73,25.25,
USNM 256217,Cacajao melanocephalus,,F,88.89,38.47,46.00,30.46,27.97,24.78,frontonasal suture partially obliterated
USNM 256216,Cacajao melanocephalus,,F,92.81,38.68,47.76,30.27,29.56,24.26,
USNM 374767,Pithecia pithecia,,?,77.26,34.38,38.64,29.41,26.50,22.24,
USNM 374763,Pithecia pithecia,,?,82.39,34.63,40.51,29.91,28.69,22.42,frontonasal suture partially obliterated
USNM 374764,Pithecia pithecia,,?,82.29,35.86,40.30,30.22,27.12,23.75,frontonasal suture partially obliterated
USNM 374765,Pithecia pithecia,,?,77.31,35.93,38.60,28.77,27.25,22.52,
USNM 374759,Pithecia pithecia,,?,77.96,34.18,38.84,29.78,26.61,21.69,
USNM 374760,Pithecia pithecia,,?,80.66,35.50,42.51,30.49,28.17,22.63,
USNM 374754,Pithecia pithecia,,M,79.00,35.55,39.05,29.56,28.08,21.82,
USNM 374749,Pithecia pithecia,,?,74.85,33.98,40.42,25.94,25.88,20.98,
USNM 339658,Pithecia pithecia,,M,72.81,32.04,39.43,22.96,23.26,21.61,
USNM 339659,Pithecia pithecia,,F,72.39,32.30,37.70,25.91,23.87,19.40,
USNM 339660,Pithecia pithecia,,F,76.96,34.47,40.47,27.02,24.72,21.64,
USNM 395071,Pithecia pithecia,,?,74.55,33.75,37.57,26.92,22.93,20.80,
USNM 300794,Pithecia pithecia,,?,77.86,34.12,37.27,27.40,26.11,21.36,
USNM 518224,Pithecia monachus,,F,87.53,40.25,43.48,33.39,28.51,24.12,
USNM 461705,Pithecia monachus,monachus,F,80.43,33.54,38.47,29.82,26.93,23.87,
USNM 518223,Pithecia monachus,monachus,F,79.96,34.29,39.72,28.12,26.05,23.41,
USNM 269838,Pithecia monachus,,F,81.51,35.67,35.61,26.57,29.77,25.12,
USNM 338963,Chiropotes satanas,sagulatus,M,87.29,35.94,44.08,28.30,28.05,24.05,
USNM 406592,Chiropotes satanas,chiropotes,F,84.45,37.19,47.06,27.73,26.45,23.16,
USNM 409768,Chiropotes satanas,chiropotes,F,82.92,35.87,46.16,31.30,26.77,21.21,frontonasal suture partially obliterated
USNM 406590,Chiropotes satanas,chiropotes,F,81.47,36.88,44.48,25.06,24.80,21.59,
USNM 406594,Chiropotes satanas,chiropotes,F,87.99,39.78,45.38,26.92,28.23,23.22,frontonasal suture partially obliterated
USNM 406591,Chiropotes satanas,chiropotes,M,82.21,36.81,27.41,27.91,25.84,22.20,
USNM 406587,Chiropotes satanas,chiropotes,F,80.37,36.39,44.50,25.24,24.40,21.15,
USNM 406583,Chiropotes satanas,chiropotes,M,82.58,36.32,45.44,25.98,27.11,23.55,
USNM 406576,Chiropotes satanas,chiropotes,?,80.21,35.85,43.38,25.80,26.89,21.90,
USNM 406582,Chiropotes satanas,chiropotes,M,81.91,38.19,44.64,26.02,25.39,23.01,
USNM 388162,Chiropotes satanas,chiropotes,F,84.11,36.23,45.08,26.60,26.88,23.49,
USNM 388165,Chiropotes satanas,chiropotes,M,87.11,37.33,47.77,28.77,29.60,23.06,frontonasal suture partially obliterated
USNM 388169,Chiropotes satanas,chiropotes,F,82.29,35.96,45.73,27.05,24.25,23.21,frontonasal suture partially obliterated
USNM 388167,Chiropotes satanas,chiropotes,M,79.67,36.40,46.44,27.32,24.41,21.54,maxillary incisors missing with bone resorption--may affect measurements that include prosthion; frontonasal suture partially obliterated
USNM 406430,Chiropotes satanas,chiropotes,F,80.51,36.28,45.89,27.81,25.44,22.93,frontonasal suture partially obliterated
USNM 388163,Chiropotes satanas,chiropotes,F,82.98,37.79,48.46,26.55,26.32,23.04,frontonasal suture partially obliterated
USNM 388161,Chiropotes satanas,chiropotes,F,79.74,35.03,43.82,26.78,25.05,21.75,
USNM 388166,Chiropotes satanas,chiropotes,M,83.59,38.65,46.21,29.70,25.25,22.52,frontonasal suture partially obliterated
USNM 406432,Chiropotes satanas,chiropotes,M,84.86,37.80,45.31,27.92,27.27,22.77,
USNM 549520,Alouatta belzebul,,M,121.55,48.12,43.48,52.41,45.46,43.21,
USNM 461714,Alouatta belzebul,,M,130.84,44.91,43.98,54.28,46.72,44.15,
USNM 518226,Alouatta belzebul,,F,108.57,42.38,45.24,36.72,38.09,39.57,
USNM 461712,Alouatta belzebul,,M,133.38,46.47,43.04,52.85,48.52,45.21,
USNM 461709,Alouatta belzebul,,F,112.00,42.23,42.95,44.17,39.71,40.46,
USNM 518227,Alouatta belzebul,,F,104.88,44.67,47.67,35.94,34.19,37.99,
USNM 461711,Alouatta belzebul,,M,139.77,49.94,46.38,48.59,50.22,47.43,frontonasal suture partially obliterated
USNM 461710,Alouatta belzebul,,F,107.81,43.51,45.71,39.20,40.38,38.56,frontonasal suture partially obliterated
USNM 461715,Alouatta belzebul,,F,109.02,45.15,48.01,38.67,35.98,40.71,frontonasal suture partially obliterated
USNM 461716,Alouatta belzebul,,F,106.39,43.78,43.92,45.17,38.17,36.15,
USNM 390645,Alouatta caraya,,M,127.40,46.59,47.22,45.96,44.80,46.91,
USNM 390649,Alouatta caraya,,F,104.29,39.76,42.79,36.59,34.78,37.79,
USNM 390648,Alouatta caraya,,F,103.49,39.75,35.96,36.29,35.31,37.48,
USNM 390650,Alouatta caraya,,M,118.78,44.03,45.95,40.97,41.51,42.16,
USNM 270356,Alouatta caraya,,M,117.61,43.83,44.38,37.21,38.67,42.88,
USNM 270355,Alouatta caraya,,M,131.32,47.63,45.13,45.49,44.13,43.79,
USNM 270357,Alouatta caraya,,F,104.17,41.74,41.53,33.10,37.17,36.79,frontonasal suture partially obliterated
USNM 256707,Alouatta caraya,,M,125.61,47.31,48.81,41.69,41.54,42.85,frontonasal suture partially obliterated
USNM 270359,Alouatta caraya,,F,97.07,38.91,42.25,34.95,32.53,36.84,
USNM 113434,Alouatta caraya,,M,118.69,45.29,44.66,42.27,41.86,43.32,
USNM 256708,Alouatta caraya,,F,99.83,38.64,41.32,36.44,33.45,38.15,
USNM 518233,Alouatta caraya,,F,102.09,41.91,44.89,32.95,36.93,37.37,
USNM 518242,Alouatta caraya,,M,118.48,44.38,46.03,39.61,40.53,43.09,frontonasal suture partially obliterated
USNM 518241,Alouatta caraya,,M,122.46,44.62,47.73,44.90,46.24,44.43,
USNM 518243,Alouatta caraya,,F,102.51,41.49,43.48,32.71,37.26,35.49,
USNM 518232,Alouatta caraya,,M,113.05,43.93,46.76,38.84,40.27,40.11,
USNM 518230,Alouatta caraya,,M,112.21,43.48,44.48,35.16,40.46,40.55,
USNM 518235,Alouatta caraya,,F,109.16,44.40,44.25,39.74,37.08,36.28,frontonasal suture nearly completely obliterated
USNM 518240,Alouatta caraya,,F,101.63,38.76,42.43,34.41,36.32,36.50,frontonasal suture partially obliterated
USNM 518237,Alouatta caraya,,F,95.95,39.09,43.92,32.80,32.27,36.38,
USNM 518238,Alouatta caraya,,F,97.25,40.28,42.88,33.99,34.72,36.73,
USNM 518231,Alouatta caraya,,F,102.05,38.03,41.96,35.65,36.18,35.34,
USNM 390651,Alouatta caraya,,M,116.54,44.41,47.50,41.39,44.60,43.06,
USNM 518236,Alouatta caraya,,M,125.66,45.41,51.05,46.97,43.52,42.87,frontonasal suture partially obliterated
USNM 390646,Alouatta caraya,,M,121.23,43.53,47.62,41.70,40.08,43.52,
USNM 518239,Alouatta caraya,,M,123.95,45.26,47.60,45.34,44.54,43.70,frontonasal suture partially obliterated
USNM 171065,Alouatta palliata,,F,105.22,42.75,42.99,33.40,37.60,37.18,
USNM 171066,Alouatta palliata,,F,105.29,43.21,44.03,37.20,37.90,37.16,
USNM 171071,Alouatta palliata,,F,108.58,44.14,45.58,32.54,36.81,36.25,
USNM 171069,Alouatta palliata,,M,116.23,46.38,48.42,42.47,40.75,40.37,frontonasal suture partially obliterated
USNM 267560,Alouatta palliata,,M,117.61,49.24,45.15,43.16,43.59,37.52,frontonasal suture partially obliterated
USNM 257307,Alouatta palliata,,?,102.43,40.82,43.27,30.80,36.19,35.80,
USNM 171070,Alouatta palliata,,F,103.93,43.74,41.61,31.68,35.59,39.26,
USNM 257359,Alouatta palliata,,?,112.08,42.02,45.77,40.86,41.16,38.35,
USNM 257309,Alouatta palliata,,F,103.39,41.34,44.85,36.24,36.22,35.89,
USNM 284638,Alouatta palliata,,F,100.92,41.83,42.90,34.71,37.21,37.18,frontonasal suture partially obliterated
USNM 61208,Alouatta palliata,,?,103.57,42.10,45.59,36.34,34.96,35.03,
USNM 284637,Alouatta palliata,,F,104.00,41.90,45.16,30.31,37.37,37.88,frontonasal suture partially obliterated
USNM 339922,Alouatta palliata,,F,100.48,40.23,43.52,38.68,32.95,34.70,
USNM 556134,Alouatta palliata,,F,101.91,40.96,43.24,38.22,36.01,35.78,
USNM 337850,Alouatta palliata,,M,117.37,44.30,45.63,41.98,40.19,37.73,
USNM 337858,Alouatta palliata,,F,100.07,40.95,44.32,36.85,36.42,36.24,
USNM 339919,Alouatta palliata,,M,109.90,43.54,49.71,42.21,38.63,34.88,frontonasal suture partially obliterated
USNM 339934,Alouatta palliata,,F,97.84,40.94,41.10,35.35,31.97,35.77,
USNM 282798,Alouatta palliata,,F,95.83,38.54,41.48,37.02,33.71,34.25,
USNM 284636,Alouatta palliata,,M,119.91,46.43,44.40,45.59,42.37,38.38,
USNM 284641,Alouatta palliata,,M,114.46,45.55,46.56,43.30,40.28,39.28,
USNM 339921,Alouatta palliata,,M,116.93,46.55,44.96,42.46,42.06,38.31,
USNM 78122,Alouatta palliata,,F,104.04,40.57,42.43,38.35,38.10,36.20,
USNM 282850,Alouatta palliata,,M,111.09,44.98,44.21,44.96,43.05,36.56,frontonasal suture partially obliterated
USNM 337553,Alouatta palliata,,M,118.48,48.43,47.05,42.50,46.24,40.19,
USNM 79399,Alouatta palliata,,F,102.79,39.91,42.43,38.28,37.49,37.02,
USNM 282795,Alouatta palliata,,F,98.85,41.64,43.45,36.05,36.85,35.55,
USNM 79397,Alouatta palliata,,M,114.17,42.41,43.56,44.19,42.22,37.94,
USNM 290558,Alouatta coibensis,coibensis,M,106.96,45.38,44.10,38.41,38.01,38.53,
USNM 290555,Alouatta coibensis,coibensis,M,107.01,42.82,44.80,39.80,38.95,37.81,
USNM 290578,Alouatta coibensis,coibensis,M,103.78,45.84,41.94,37.44,37.10,37.80,frontonasal suture partially obliterated
USNM 290560,Alouatta coibensis,coibensis,M,100.37,43.70,45.65,36.70,37.30,39.00,
USNM 290559,Alouatta coibensis,coibensis,F,94.96,39.95,42.91,33.56,32.58,35.00,
USNM 290557,Alouatta coibensis,coibensis,M,105.13,43.34,45.26,36.89,37.25,37.36,frontonasal suture partially obliterated
USNM 290556,Alouatta coibensis,coibensis,F,99.36,38.88,44.42,35.10,34.02,34.59,
USNM 290562,Alouatta coibensis,coibensis,F,91.26,38.44,45.39,34.83,31.45,31.73,
USNM 290561,Alouatta coibensis,coibensis,F,95.40,38.94,43.75,33.03,33.95,33.51,
USNM 290566,Alouatta coibensis,coibensis,M,107.19,43.83,44.81,37.94,36.23,37.38,
USNM 290577,Alouatta coibensis,coibensis,M,102.61,44.20,44.72,36.68,35.99,38.07,
USNM 290571,Alouatta coibensis,coibensis,F,91.13,38.42,40.48,32.60,32.39,34.44,
USNM 290569,Alouatta coibensis,coibensis,M,100.45,43.65,43.61,35.57,36.10,36.08,
USNM 290573,Alouatta coibensis,coibensis,F,97.09,39.54,41.78,35.54,32.76,34.36,
USNM 290576,Alouatta coibensis,coibensis,F,95.79,40.94,43.99,33.45,33.67,35.32,frontonasal suture partially obliterated
USNM 290568,Alouatta coibensis,coibensis,F,91.32,38.58,41.04,32.69,31.25,32.24,
USNM 290574,Alouatta coibensis,coibensis,F,91.94,37.46,39.84,34.32,32.84,34.78,
USNM 290583,Alouatta coibensis,coibensis,F,97.18,40.86,43.04,32.32,34.73,35.59,frontonasal suture partially obliterated
USNM 290584,Alouatta coibensis,coibensis,M,105.93,43.17,44.67,39.66,39.22,35.50,
USNM 290580,Alouatta coibensis,coibensis,F,98.99,40.25,42.07,34.50,35.10,35.70,
USNM 290579,Alouatta coibensis,coibensis,F,95.35,39.12,41.46,32.91,32.01,33.96,
USNM 281742,Alouatta seniculus,seniculus,M,115.10,42.04,42.92,46.81,40.57,39.03,frontonasal suture nearly completely obliterated
USNM 281674,Alouatta seniculus,seniculus,F,101.15,39.78,42.00,39.69,36.37,34.22,frontonasal suture partially obliterated
USNM 281669,Alouatta seniculus,seniculus,M,110.23,41.14,44.17,44.49,42.04,41.97,
USNM 281777,Alouatta seniculus,seniculus,M,120.22,43.55,50.20,46.21,44.38,41.35,
USNM 216664,Alouatta seniculus,seniculus,M,118.18,43.86,44.72,47.59,41.50,42.52,
USNM 281670,Alouatta seniculus,seniculus,M,106.45,43.28,40.49,40.57,41.16,40.98,
USNM 281745,Alouatta seniculus,seniculus,F,103.37,40.14,42.25,39.44,34.34,34.86,frontonasal suture partially obliterated
USNM 281762,Alouatta seniculus,seniculus,M,118.97,45.29,43.86,47.49,42.91,40.78,
USNM 281748,Alouatta seniculus,seniculus,F,99.98,40.19,40.10,38.26,37.39,35.13,frontonasal suture partially obliterated
USNM 281744,Alouatta seniculus,seniculus,F,100.32,38.39,45.22,38.77,33.81,36.77,
USNM 281740,Alouatta seniculus,seniculus,M,116.60,42.88,45.42,47.58,42.32,37.25,frontonasal suture partially obliterated
USNM 281741,Alouatta seniculus,seniculus,M,117.99,43.88,43.79,44.48,44.18,38.02,
USNM 281743,Alouatta seniculus,seniculus,M,116.48,41.13,43.26,44.72,43.94,36.95,frontonasal suture partially obliterated
USNM 281672,Alouatta seniculus,seniculus,M,115.51,46.34,43.38,48.68,42.38,39.86,
USNM 281675,Alouatta seniculus,seniculus,M,116.90,46.75,42.21,44.38,42.57,38.86,
USNM 281676,Alouatta seniculus,seniculus,F,102.24,39.95,43.51,38.11,36.03,36.63,frontonasal suture partially obliterated
USNM 281678,Alouatta seniculus,seniculus,M,114.36,42.27,43.17,43.67,43.39,36.70,frontonasal suture partially obliterated
USNM 281739,Alouatta seniculus,seniculus,F,102.49,40.72,41.26,39.97,36.55,34.46,frontonasal suture partially obliterated
USNM 281771,Alouatta seniculus,seniculus,F,101.37,40.94,45.02,34.75,33.56,35.90,frontonasal suture partially obliterated
USNM 281761,Alouatta seniculus,seniculus,F,101.93,40.32,42.66,37.18,36.03,36.30,frontonasal suture partially obliterated
USNM 281759,Alouatta seniculus,seniculus,F,95.13,36.35,39.90,35.51,33.51,32.96,frontonasal suture partially obliterated
USNM 244872,Alouatta pigra,,M,111.20,40.26,43.33,43.77,37.47,39.56,
USNM 249828,Alouatta pigra,,M,112.78,41.52,44.26,42.11,39.57,39.24,
USNM 244871,Alouatta pigra,,M,117.24,44.40,45.33,44.35,40.32,40.24,
USNM 244870,Alouatta pigra,,M,128.34,44.26,47.84,52.52,46.67,42.32,
USNM 244876,Alouatta pigra,,M,118.53,41.79,42.95,47.59,41.33,38.74,
USNM 292199,Alouatta pigra,,F,102.71,39.21,43.68,35.71,36.64,34.32,frontonasal suture partially obliterated
USNM 292191,Alouatta pigra,,F,97.86,36.86,41.44,37.55,34.11,36.44,
USNM 292173,Alouatta pigra,,F,105.76,39.90,42.97,39.16,34.73,35.97,
USNM 292171,Alouatta pigra,,M,129.10,46.25,46.34,48.67,44.56,42.61,
USNM 292178,Alouatta pigra,,M,124.20,44.41,45.09,47.55,43.35,41.24,
USNM 292181,Alouatta pigra,,F,110.66,37.49,42.56,44.48,37.86,37.17,
USNM 292187,Alouatta pigra,,F,102.68,37.09,45.30,38.98,34.67,35.91,frontonasal suture partially obliterated
USNM 76721,Alouatta pigra,,F,108.87,40.98,45.93,43.24,37.09,38.00,
USNM 292197,Alouatta pigra,,M,113.50,42.95,46.05,39.25,43.65,37.23,
USNM 292186,Alouatta pigra,,F,106.61,39.03,43.75,39.92,35.38,36.14,
USNM 292184,Alouatta pigra,,F,101.61,37.20,43.98,37.96,34.47,35.19,
USNM 292179,Alouatta pigra,,F,111.69,42.78,44.55,40.95,39.05,36.61,frontonasal suture partially obliterated
USNM 292175,Alouatta pigra,,F,109.01,38.49,44.17,41.44,36.90,36.72,frontonasal suture partially obliterated
USNM 292200,Alouatta pigra,,F,99.35,38.63,45.24,36.39,35.57,35.60,
USNM 292198,Alouatta pigra,,F,103.99,40.23,42.81,35.86,38.28,34.99,frontonasal suture partially obliterated
USNM 108285,Alouatta pigra,,M,120.52,47.05,40.56,50.53,44.65,39.84,
USNM 76720,Alouatta pigra,,M,114.30,40.21,47.12,41.31,40.66,40.84,
USNM 292192,Alouatta pigra,,F,110.66,43.04,42.87,40.58,38.16,38.36,
USNM 337698,Ateles geoffroyi,geoffroyi,F,105.31,45.43,54.80,36.65,27.49,29.42,
USNM 253744,Ateles geoffroyi,geoffroyi,F,101.37,39.10,53.11,37.71,26.74,27.98,
USNM 337864,Ateles geoffroyi,geoffroyi,M,103.19,40.17,53.96,35.16,26.81,28.03,
USNM 337694,Ateles geoffroyi,geoffroyi,F,110.48,43.54,55.59,40.11,29.19,30.64,
USNM 337704,Ateles geoffroyi,geoffroyi,F,107.06,45.57,53.63,34.77,29.70,30.43,
USNM 337702,Ateles geoffroyi,geoffroyi,M,103.96,44.02,54.55,37.11,28.83,29.42,
USNM 292202,Ateles geoffroyi,grisescens,M,106.74,44.69,53.61,36.12,28.88,30.87,
USNM 337693,Ateles geoffroyi,geoffroyi,M,111.75,46.67,53.46,39.67,31.43,29.90,
USNM 337707,Ateles geoffroyi,geoffroyi,F,107.41,43.48,58.86,36.07,28.71,33.67,
USNM 337692,Ateles geoffroyi,geoffroyi,F,110.64,45.35,57.27,39.39,30.94,30.87,
USNM 291057,Ateles geoffroyi,ornatus,F,109.10,43.75,55.34,37.17,29.85,30.59,
USNM 291056,Ateles geoffroyi,ornatus,F,109.67,48.24,55.57,35.24,30.65,30.45,
USNM 171075,Ateles geoffroyi,ornatus,F,108.88,47.69,57.26,38.02,31.22,31.62,
USNM 14154,Ateles geoffroyi,ornatus,M,111.02,46.55,53.45,41.84,28.15,33.14,"listed as female in database, but box is labelled male and specimen is clearly male"
USNM 291062,Ateles geoffroyi,ornatus,F,109.37,46.21,56.51,36.03,30.31,30.66,
USNM 291060,Ateles geoffroyi,ornatus,F,111.30,45.04,58.08,35.52,29.94,31.86,
USNM 291064,Ateles geoffroyi,ornatus,F,104.20,45.19,57.59,35.13,29.64,29.13,
USNM 171074,Ateles geoffroyi,ornatus,M,114.20,45.79,59.64,36.65,32.55,32.26,
USNM 284948,Ateles geoffroyi,ornatus,F,110.42,47.23,57.18,36.12,33.00,31.93,
USNM 336202,Ateles geoffroyi,ornatus,M,113.23,48.95,60.25,35.82,33.96,32.17,
USNM 291059,Ateles geoffroyi,ornatus,M,116.55,47.25,57.39,42.74,32.21,30.13,frontonasal suture partially obliterated
USNM 291055,Ateles geoffroyi,ornatus,M,108.51,44.85,58.41,35.79,28.85,30.79,
USNM 284951,Ateles geoffroyi,ornatus,F,112.96,46.82,55.82,36.91,32.74,34.08,
USNM 336204,Ateles geoffroyi,ornatus,M,109.81,44.41,57.91,35.44,28.70,30.58,
USNM 281809,Ateles hybridus,,F,114.11,48.86,55.28,40.66,32.69,31.99,frontonasal suture partially obliterated
USNM 281801,Ateles hybridus,,F,106.29,43.95,57.05,33.39,28.99,31.26,
USNM 281813,Ateles hybridus,,M,115.02,48.96,55.85,35.60,30.76,32.15,frontonasal suture partially obliterated
USNM 281810,Ateles hybridus,,F,110.61,45.76,55.51,35.32,29.99,31.42,frontonasal suture partially obliterated
USNM 443428,Ateles hybridus,,M,109.54,48.70,56.40,35.43,31.18,30.79,
USNM 443427,Ateles hybridus,,M,109.73,45.77,56.00,38.64,31.96,31.70,
USNM 281808,Ateles hybridus,,F,117.47,48.33,52.57,39.48,32.87,31.26,
USNM 281814,Ateles hybridus,,F,109.57,45.23,59.03,36.91,30.40,31.45,
USNM 281816,Ateles hybridus,,M,111.08,46.80,54.85,38.15,31.22,29.86,
USNM 281805,Ateles hybridus,,F,113.01,46.01,61.93,35.49,32.96,31.34,frontonasal suture partially obliterated
USNM 281815,Ateles hybridus,,F,111.05,49.14,55.80,36.55,30.93,28.87,
USNM 281806,Ateles hybridus,,F,111.46,45.38,58.24,36.20,33.29,32.47,
USNM 443389,Ateles hybridus,,F,108.01,45.87,56.12,38.26,30.70,31.54,frontonasal suture partially obliterated
USNM 443388,Ateles hybridus,,M,107.20,46.27,53.90,35.45,31.60,32.11,
USNM 443386,Ateles hybridus,,M,109.87,48.13,56.22,36.84,31.89,31.77,frontonasal suture partially obliterated
USNM 443392,Ateles hybridus,,F,110.22,49.38,57.96,37.11,29.91,31.12,
USNM 443224,Ateles hybridus,,F,111.99,49.88,53.97,36.83,31.03,31.20,
USNM 443426,Ateles hybridus,,M,116.32,48.41,52.07,38.65,35.68,30.70,
USNM 443221,Ateles hybridus,,F,110.76,47.85,56.45,34.50,30.11,32.39,
USNM 443429,Ateles hybridus,,F,112.24,46.50,55.61,37.14,31.65,32.18,
USNM 443227,Ateles hybridus,,F,113.71,45.90,57.75,36.24,30.20,31.31,
USNM 443430,Ateles hybridus,,F,112.99,45.04,56.25,36.45,31.66,31.31,
USNM 291239,Ateles fusciceps,rufiventris,F,110.94,45.10,52.81,35.33,32.56,31.73,
USNM 291237,Ateles fusciceps,rufiventris,M,115.72,45.10,54.90,40.33,33.93,31.57,frontonasal suture partially obliterated
USNM 310331,Ateles fusciceps,rufiventris,F,121.38,49.67,58.34,40.95,33.65,34.03,
USNM 291243,Ateles fusciceps,rufiventris,F,109.07,46.81,55.65,41.08,32.80,31.56,
USNM 310336,Ateles fusciceps,rufiventris,F,115.97,49.17,59.86,43.36,35.02,35.02,
USNM 336276,Ateles fusciceps,rufiventris,F,115.87,46.96,55.95,37.98,36.37,32.18,
USNM 310334,Ateles fusciceps,rufiventris,M,114.91,47.25,56.05,39.74,34.47,32.63,
USNM 310339,Ateles fusciceps,rufiventris,F,120.81,51.75,57.59,36.68,36.33,33.52,"canines and cranial size look male, but labelled as female; mandibular/maxillary fourth molars are present"
USNM 310328,Ateles fusciceps,rufiventris,M,115.49,45.60,60.13,36.77,32.39,31.77,
USNM 291238,Ateles fusciceps,rufiventris,M,116.63,44.93,56.06,39.35,33.27,31.94,
USNM 310330,Ateles fusciceps,rufiventris,M,120.39,48.31,61.09,40.46,35.27,32.94,
USNM 310329,Ateles fusciceps,rufiventris,F,120.45,48.50,58.98,40.81,34.91,32.78,
USNM 310340,Ateles fusciceps,rufiventris,M,117.17,51.72,55.00,40.15,35.98,31.65,
USNM 310325,Ateles fusciceps,rufiventris,M,115.10,51.26,57.75,39.93,36.74,31.10,frontonasal suture partially obliterated
USNM 310326,Ateles fusciceps,rufiventris,M,114.67,47.06,55.74,39.85,34.83,33.31,frontonasal suture partially obliterated
USNM 336280,Ateles fusciceps,rufiventris,?,110.57,47.00,57.30,38.10,29.88,28.60,frontonasal suture partially obliterated
USNM 336281,Ateles fusciceps,rufiventris,?,108.44,44.78,55.12,38.47,31.22,28.72,"cranium labelled with male symbol, but listed as unknown in database"
USNM 336282,Ateles fusciceps,rufiventris,F,117.83,47.62,59.43,42.02,35.96,34.49,
USNM 336286,Ateles fusciceps,rufiventris,F,115.65,47.15,57.85,41.09,32.89,31.76,
USNM 338112,Ateles fusciceps,rufiventris,M,119.33,45.85,61.16,44.28,35.93,30.77,frontonasal suture partially obliterated
USNM 338113,Ateles fusciceps,rufiventris,F,118.11,49.90,58.40,40.51,34.52,36.11,
USNM 338114,Ateles fusciceps,rufiventris,F,113.46,46.33,59.35,36.44,31.24,30.83,frontonasal suture partially obliterated
USNM 336284,Ateles fusciceps,rufiventris,?,120.66,48.17,56.05,45.64,35.86,34.26,"box labelled as male and canines are large, but listed as unknown in database"
USNM 362292,Ateles fusciceps,rufiventris,F,118.03,47.03,57.43,39.70,35.29,35.33,
USNM 362293,Ateles fusciceps,rufiventris,F,113.79,45.09,57.45,38.51,33.54,31.60,
USNM 338111,Ateles fusciceps,rufiventris,F,114.48,46.47,55.84,37.41,32.96,33.43,mandibular/maxillary fourth peg molars
USNM 338115,Ateles fusciceps,rufiventris,M,118.09,45.80,59.24,37.98,33.34,30.46,
